,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
328,20080421X00523_1,6.0,0.0,0.0,0.0,0.0,20080421X00523,1
329,20080421X00524_1,5.0,5.0,0.0,1.0,4.0,20080421X00524,1
330,20080421X00525_1,1.0,0.0,0.0,0.0,0.0,20080421X00525,1
331,20080422X00526_1,94.0,43.0,0.0,40.0,3.0,20080422X00526,1
332,20080422X00527_1,8.0,8.0,0.0,0.0,8.0,20080422X00527,1
333,20080422X00528_1,2.0,2.0,0.0,0.0,2.0,20080422X00528,1
334,20080422X00529_1,2.0,1.0,1.0,0.0,0.0,20080422X00529,1
335,20080422X00530_1,2.0,2.0,0.0,2.0,0.0,20080422X00530,1
336,20080422X00531_1,1.0,0.0,0.0,0.0,0.0,20080422X00531,1
337,20080423X00532_1,2.0,0.0,0.0,0.0,0.0,20080423X00532,1
338,20080423X00533_1,1.0,1.0,0.0,1.0,0.0,20080423X00533,1
339,20080423X00534_1,1.0,1.0,0.0,0.0,1.0,20080423X00534,1
340,20080424X00535_1,2.0,0.0,0.0,0.0,0.0,20080424X00535,1
